3.57465,25.4296,279.747,39.3243
3.81878,16.9037,261.864,59.1586
3.67927,17.016,271.793,58.7682
3.79505,17.2151,263.501,58.0886
3.80007,17.1835,263.153,58.1955
3.65088,17.088,273.906,58.5205
3.24576,16.9938,308.094,58.8449
3.69018,17.1381,270.99,58.3496
3.67645,17.4052,272.001,57.4541
3.66525,17.1921,272.833,58.1663
3.76011,17.2504,265.949,57.9696
3.77206,17.1132,265.107,58.4344
3.23266,17.1625,309.343,58.2664
3.6387,17.045,274.824,58.6684
3.8009,17.2901,263.096,57.8366
3.17317,17.2227,315.142,58.0629
3.70816,17.2411,269.675,58.001
3.77092,17.0423,265.187,58.6776
